individual_id,age,income,country
4701,59.0,NaNStr,CA
4702,67.0,101534.13,US
4703,58.0,30326.63,US
4704,43.0,86905.57,FR
4705,69.0,41053.64,CA
4706,27.0,48774.62,UK
4707,49.0,86575.5,US
4708,150.0,112000.84,US
4709,45.0,65066.37,US
4710,66.0,119130.08,XYZ
4711,44.0,90739.1,US
4712,59.0,79679.49,UK
4713,38.0,35951.92,UK
4714,33.0,61331.1,US
4715,34.0,89152.42,UK
4716,52.0,38249.95,CA
4717,47.0,118741.98,US
4718,21.0,39027.21,CA
4719,38.0,84195.69,UK
4720,40.0,,UK
4721,25.0,,US
4722,27.0,102536.34,UK
4723,21.0,106179.39,US
4724,51.0,NaNStr,US
4725,59.0,69667.14,US
4726,30.0,47371.34,UK
4727,38.0,85200.17,UK
4728,70.0,105518.33,US
4729,27.0,36712.85,CA
4730,65.0,95047.66,UK
4731,age_str,112628.3,CA
4732,26.0,69808.53,US
4733,22.0,54997.99,UK
4734,30.0,43450.52,CA
4735,27.0,79505.78,UK
4736,35.0,75701.21,UK
4737,20.0,83679.2,US
4738,60.0,80730.7,US
4739,22.0,92955.09,US
4740,36.0,,CA
4741,55.0,33853.02,UK
4742,150.0,,
4743,56.0,2500000.0,UK
4744,63.0,-2500.0,US
4745,20.0,59128.7,??
4746,58.0,32051.3,CA
4747,34.0,98287.26,US
4748,48.0,108538.14,US
4749,48.0,45467.68,US
4750,57.0,74399.7,UK
4751,49.0,90950.96,US
4752,53.0,59658.53,UK
4753,40.0,86505.89,??
4754,43.0,2500000.0,UK
4755,30.0,51895.47,UK
4756,56.0,65264.36,US
4757,30.0,51721.16,UK
4758,24.0,73466.1,CA
4759,36.0,67477.89,UK
4760,61.0,32731.32,UK
4761,56.0,45414.58,US
4762,36.0,113403.56,UK
4763,41.0,34403.12,US
4764,44.0,111487.04,US
4765,35.0,94667.39,US
4766,20.0,63930.43,UK
4767,age_str,46242.93,UK
4768,66.0,116274.93,US
4769,37.0,86760.75,UK
4770,28.0,77135.82,US
4771,29.0,54624.07,UK
4772,64.0,104883.5,CA
4773,36.0,75461.36,CA
4774,-3.0,56646.16,UK
4775,51.0,50334.44,UK
4776,54.0,50916.57,CA
4777,51.0,97969.85,UK
4778,23.0,112609.29,UK
4779,63.0,74729.07,US
4780,57.0,95451.58,UK
4781,43.0,45950.45,UK
4782,44.0,46522.37,CA
4783,64.0,78279.16,CA
4784,47.0,57061.64,US
4785,65.0,-2500.0,UK
4786,,79939.14,??
4787,24.0,117972.35,US
4788,43.0,89645.27,US
4789,43.0,111466.65,UK
4790,61.0,71831.76,CA
4791,50.0,41630.01,UK
4792,23.0,99401.51,CA
4793,27.0,108856.18,UK
4794,27.0,52250.38,US
4795,20.0,37832.88,UK
4796,51.0,106926.91,CA
4797,55.0,68421.15,CA
4798,39.0,102276.53,US
